timestamp,reaction
1607883199375,👍
1607812579946,👍
1607806531267,👍
1607806376495,👍
1607438755145,👍
1607374936120,👍
1607281249628,👍
1607281026571,👍
1606902940847,👍
1606817016589,👍
1606486795395,😮
1606486739972,😠
1606316894000,😮
1606230201371,👍
1606130719799,😢
1606130575537,👍
1606110711469,😆
1605883458437,😢
1605688310875,👍
1605093193369,🎅
1604647555793,😆
1604321423391,🧗‍♂️
1604321392751,💑
1604313463748,👍
1603900487283,👍
1603801548178,❤
1603190838638,👍
1603185042958,😮
1603044587909,❤
1603025043372,❤
1602499841645,👍
1602145085949,😢
1602067007519,👍
1601975127682,😆
1601666222229,❤
1601666039722,😮
1601655098538,😆
1601628866207,👍
1601133678309,❤
1601116291487,😆
1601101257135,❤
1601068803193,❤
1601066652401,❤
1601065598638,😢
1601063068920,😆
1601035573342,❤
1601033102809,❤
1601032173904,😮
1601017279017,❤
1601011025546,❤
1600977262096,❤
1600976773632,❤
1600973700301,❤
1600965846190,❤
1600965479992,😮
1600965112337,❤
1600960610680,😮
1600942773425,❤
1600940432622,😆
1600938494167,😮
1600932047286,😆
1600929347634,😆
1600929346068,❤
1600926595573,😢
1600886343900,😆
1600872195920,❤
1600871624714,❤
1600869321900,❤
1600854486056,😆
1600781175779,❤
1600760381322,❤
1600756985804,😢
1600720815942,😮
1600720766068,❤
1600707559674,😆
1600707475727,😮
1600682614779,❤
1600680674313,❤
1600678352685,❤
1600634862654,❤
1600626598211,❤
1600623824486,😆
1600601642942,❤
1600549960371,❤
1600461272755,👍
1600460952686,❤
1600418799807,😆
1600337393291,❤
1600336937680,❤
1600336234105,👍
1600322258933,😆
1599808648820,❤
1599806445475,👍
1599775051804,😆
1599774982236,😮
1599745619847,❤
1599687626002,😮
1599555017274,❤
1599492766196,❤
1599421129786,😆
1599236163906,👍
1599058633481,👍
1598994634921,👍
1598909477579,😍
1598908086477,😢
1598864136600,😍
1598864112534,😍
1598822851121,😆
1598802129773,😍
1598735250764,😍
1598454375303,😍
1598315583303,😍
1597666387797,😆
1597142519499,😍
1597128115195,😍
1597068118922,😍
1597047405632,😮
1597001680879,😍
1596978903062,😮
1596959611239,😍
1596957202468,😮
1596879692161,😮
1596801070581,😍
1596664740606,😍
1596611415399,😍
1596579208036,😮
1596572419355,😍
1596539116907,😮
1596311111124,😢
1595802912294,😍
1595714650211,😍
1595427890486,😆
1595191645134,😍
1594236910204,😮
1594063852225,😮
1592315433630,😍
1591859330326,😍
1591832409860,😍
1590950489578,😍
1590828154541,😆
1590345748125,👍
1590079062885,😢
1589460771960,👍
1589385557493,👍
1588862507207,👍
1588774066789,👍
1588602295782,👍
1587576662125,😮
1586861470009,😍
1586775954810,😢
1586700972847,😍
1586648534387,😮
1586171779267,👍
1586171738187,👍
1586171735132,👍
1585851071183,👍
1585229384859,👍
1584923375301,😮
1584635161865,👍
1584635138149,👍
1584635118605,👍
1584630125655,😆
1584557321670,👍
1584109580112,👍
1583700853024,😮
1583228548025,😮
1582282086885,👍
1582226276737,😮
1582224082650,👎
1582186554580,😍
1582144905533,😍
1582132996833,😮
1582050154306,😍
1581948762938,😍
1581764424706,😮
1581764266016,😆
1581423420209,👍
1581412381725,😢
1580584625362,😍
1580505465135,👍
1579677742615,👍
1579635885219,😍
1579520769829,😍
1579124903213,👍
1579025387523,👍
1578641163177,😍
1576425884732,😠
1574249260657,😮
1571777304513,👍
1571730312777,👍
1571170532654,😍
1571157764976,👍
1570989466227,😢
1570544194881,👍
1570544193005,👍
1570521621015,👍
1559051728518,😍
1557809135113,😍
1552389869853,👍
1551044102587,👍
1551033337135,👍
1549695195823,👍
1549227575848,😍
1548844611687,👍
1547142879389,👍
1531685149665,😍
1529995182587,😆
1529332156654,👍
1529316414597,👍
1527336028433,👍
1523810473191,👎
1523193510306,👍
1521549938764,😮
1521486752006,👍
1521205389198,👍
1520620115359,👍
1520183759513,👍
1517515080790,👍
1514824309245,👍
1514373440285,😢
1512332980602,😮
1509396349832,👍
1508441233511,😍
1502309625306,👍
1502309621024,👍
1499419107256,👍
1495822710091,😆
1494790322036,😍
