timestamp,reaction
1608514665130,🧡
1608514611533,🧡
1608514432814,🧡
1608514122675,🧡
1608513340447,🧡
1608513280103,🧡
1608513226415,🧡
1608513221313,🧡
1608513039364,🧡
1608512920786,🧡
1608512911826,🧡
1608512261835,🧡
1608512097542,👍
1608510951229,🧡
1608510950643,🧡
1608510929256,🧡
1608510914073,🧡
1608510906260,🧡
1608510828242,🧡
1608510814485,🧡
1608510807236,🧡
1608510558609,🧡
1608510507238,🧡
1608502332478,🧡
1608502177894,🧡
1608502130370,🧡
1608502092674,🧡
1608498308335,🧡
1608494498221,🧡
1608493360934,🧡
1608492512208,🧡
1608492437140,🧡
1608492279985,🧡
1608492134149,🧡
1608492113151,🧡
1608491312159,🧡
1608491280059,🧡
1608491027996,😆
1608490164919,🧡
1608489906403,🧡
1608484411531,🧡
1608484356339,🧡
1608484338787,🧡
1608484259327,🧡
1608483653155,🧡
1608482264767,🧡
1608481866252,🧡
1608481753834,😟
1608481710447,🧡
1608481541534,🧡
1608481374918,🧡
1608480788124,🧡
1608480465369,🧡
1608480447033,🧡
1608480409704,🧡
1608480397089,🧡
1608480366982,🧡
1608480332762,🧡
1608480321244,🧡
1608480268320,🧡
1608480224497,🧡
1608480198869,🧡
1608480194974,🧡
1608480171219,🧡
1608480152537,🧡
1608480135768,🧡
1608480101298,🧡
1608480085007,🧡
1608480068564,🧡
1608480058575,🧡
1608480012071,🧡
1608479906676,🧡
1608479858272,🧡
1608479697675,🧡
1608479655353,🧡
1608479610302,🧡
1608479539650,🧡
1608479536507,🧡
1608479504542,🧡
1608479487739,🧡
1608479302509,🧡
1608478894689,🧡
1608478548723,🧡
1608478470199,🧡
1608478081580,🧡
1608477984936,🧡
1608477641952,🧡
1608476862033,🧡
1608476301792,🧡
1608475764058,🧡
1608474829713,🧡
1608474201132,🧡
1608474180590,🧡
1608474171134,🧡
1608474143766,🧡
1608474130208,😟
1608474026375,👍
1608470529328,🧡
1608469883789,🧡
1608469853364,🧡
1608469814425,🧡
1608469804125,🧡
1608469631091,🧡
1608469617840,🧡
1608469109776,🧡
1608468507340,🧡
1608468460603,🧡
1608468411600,🧡
1608468253438,🧡
1608468112219,🧡
1608468059597,🧡
1608467948866,🧡
1608467915577,🧡
1608467890662,🧡
1608467829345,🧡
1608467812257,🧡
1608467798186,🧡
1608467748331,🧡
1608467743784,🧡
1608467720608,🧡
1608467711257,🧡
1608467694553,🧡
1608467689994,🧡
1608467678199,🧡
1608467668494,🧡
1608467638254,🧡
1608467481080,🧡
1608467447593,🧡
1608467427959,🧡
1608467378509,🧡
1608467335806,🧡
1608467300520,🧡
1608467295809,🧡
1608467186080,🧡
1608467159743,🧡
1608467156994,🧡
1608467136468,🧡
1608467106816,🧡
1608467034417,🧡
1608466989259,🧡
1608466907435,🧡
1608466862744,🧡
1608465690984,🧡
1608463395958,🧡
1608462829448,😠
1608462810778,😠
1608462393092,🧡
1608461357967,🧡
1608461256306,🧡
1608461029474,🧡
1608460965793,🧡
1608460881781,🧡
1608460746888,😟
1608460703613,🧡
1608460613172,👍
1608460449839,🧡
1608460424321,🧡
1608460217400,🧡
1608460162572,🧡
1608460047753,🧡
1608460038249,🧡
1608460027821,🧡
1608460020696,🧡
1608459993560,🧡
1608459975359,🧡
1608459934897,🧡
1608459933775,🧡
1608459882475,🧡
1608459834377,🧡
1608459825889,👍
1608459820208,👍
1608459765063,👍
1608459711705,🧡
1608459692970,🧡
1608459688319,🧡
1608459666087,🧡
1608459604830,🧡
1608459586969,🧡
1608459558263,🧡
1608459548990,🧡
1608459535466,🧡
1608459487144,🧡
1608459477807,🧡
1608459468650,👍
1608459456731,🧡
1608459452325,😟
1608459440598,🧡
1608459436332,🧡
1608459414706,🧡
1608459378207,🧡
1608459347927,🧡
1608459346363,🧡
1608459324164,🧡
1608459313299,🧡
1608459311690,🧡
1608459309512,🧡
1608459286277,🧡
1608459264945,🧡
1608459257044,🧡
1608459248295,👍
1608459232229,😟
1608459090744,🧡
1608459078263,🧡
1608458935591,🧡
1608458870671,🧡
1608458806173,😟
1608458527183,🧡
1608458129083,🧡
1608458095733,🧡
1608457990795,🧡
1608457870243,🧡
1608457744695,🧡
1608455330221,🧡
1608448998725,🧡
1608426528357,🧡
1608426461628,🧡
1608424255488,🧡
1608424191681,🧡
1608424118113,🧡
1608424087256,🧡
1608423567259,🧡
1608423421946,🧡
1608423333424,🧡
1608423289213,🧡
1608423257162,🧡
1608422924738,🧡
1608422923500,🧡
1608422917051,🧡
1608422881023,🧡
1608422824027,🧡
1608422783563,🧡
1608422513001,🧡
1608422469457,🧡
1608422442672,🧡
1608422271454,🧡
1608422192633,🧡
1608422066444,🧡
1608422024351,🧡
1608421964852,🧡
1608421906125,🧡
1608421905720,🧡
1608421881932,🧡
1608421806193,🧡
1608421648740,🧡
1608421617979,🧡
1608421595837,🧡
1608421574530,🧡
1608421426412,🧡
1608421390822,🧡
1608421202562,🧡
1608421124371,🧡
1608421089503,🧡
1608421086155,🧡
1608421061212,🧡
1608421051354,🧡
1608421027877,🧡
1608420989884,🧡
1608420902004,🧡
1608420855613,🧡
1608420824049,🧡
1608420818322,🧡
1608420438226,🧡
1608420424326,🧡
1608420402158,🧡
1608420376066,🧡
1608420340696,🧡
1608420181527,🧡
1608420146048,🧡
1608420126768,🧡
1608420113868,🧡
1608420085259,🧡
1608419988069,👍
1608419935168,😺
1608419933933,🧡
1608419931024,🧡
1608419924061,👍
1608419890847,🧡
1608419886849,🧡
1608419884127,🧡
1608419837698,👍
1608419822752,👍
1608419794868,🧡
1608419771819,👍
1608419732652,👍
1608419715062,🧡
1608419703345,🧡
1608419671010,👍
1608419669747,👍
1608419661193,👍
1608419577367,🧡
1608419573867,🧡
1608419568116,🧡
1608416888633,👍
1608416682468,🧡
1608416605062,🧡
1608416563418,🧡
1608416414876,🧡
1608416401793,👍
1608416332649,🧡
1608416035284,🧡
1608415975538,🧡
1608415812743,🧡
1608415540614,🧡
1608413859105,😟
1608410802528,🧡
1608410794591,🧡
1608410743435,🧡
1608410647705,🧡
1608410626013,🧡
1608410607724,🧡
1608410549158,🧡
1608409534633,😟
1608407917791,🧡
1608407166556,🧡
1608407123417,🧡
1608407005586,🧡
1608406864339,🧡
1608406753939,🧡
1608406750979,🧡
1608406712482,🧡
1608406651514,🧡
1608406591685,🧡
1608406561042,🧡
1608406545667,🧡
1608406415404,🧡
1608406303636,🧡
1608406226602,🧡
1608405393289,🧡
1608405300216,🧡
1608404670457,🧡
1608404369791,🧡
1608404332361,🧡
1608404049950,🧡
1608403936376,🧡
1608403933359,🧡
1608403895778,🧡
1608402895090,🧡
1608402793336,🧡
1608402608140,🧡
1608402573328,🧡
1608402546901,🧡
1608402508527,🧡
1608402486952,🧡
1608402426230,🧡
1608402396663,🧡
1608402371832,🧡
1608402350166,🧡
1608402313702,🧡
1608402306922,🧡
1608402279796,🧡
1608402261119,🧡
1608402232333,🧡
1608402223732,🧡
1608402128450,🧡
1608402118251,🧡
1608402107194,🧡
1608402035437,🤨
1608401997139,🧡
1608401985576,🧡
1608401912839,🧡
1608401834059,🧡
1608401821237,🧡
1608401802492,🧡
1608401784040,🧡
1608401778710,🧡
1608401752561,🧡
1608401720241,🤨
1608401688031,🧡
1608401635589,🧡
1608401344364,🧡
1608401121891,🧡
1608401071940,🧡
1608401070149,🧡
1608401057166,🧡
1608401004239,🧡
1608400973912,🧡
1608400973698,🧡
1608400940726,🧡
1608400933346,🧡
1608400927535,🧡
1608400903405,🧡
1608400861527,🧡
1608400843005,🧡
1608400805239,🧡
1608400765693,🧡
1608400757837,🧡
1608400756397,🧡
1608400739744,🧡
1608400726391,🧡
1608400628839,🧡
1608400582117,🧡
1608400536879,🧡
1608400514746,🧡
1608400483674,🧡
1608400405149,🧡
1608400339254,🧡
1608400307782,🧡
1608399409868,🧡
1608398627400,🧡
1608396473385,🧡
1608396449155,🧡
1608396436642,😠
1608396411901,🧡
1608396406883,🧡
1608396331503,🧡
1608396305113,🧡
1608394243612,🧡
1608390585747,😠
1608390577482,😠
1608388681329,🧡
1608379408933,🧡
1608378801678,🧡
1608378791340,🧡
1608378699629,🧡
1608378438218,🧡
1608378311354,🧡
1608378250132,🧡
1608377879540,🧡
1608377103926,🧡
1608375935553,🧡
1608374360510,🧡
1608373664752,🧡
1608373591499,🧡
1608370852622,🧡
1608370846209,🧡
1608341106853,🧡
1608341052554,🧡
1608340943527,🧡
1608339764146,🧡
1608339740861,🧡
1608339733407,🧡
1608339616988,🧡
1608339593473,🧡
1608339542545,🧡
1608339381020,🧡
1608339262285,🧡
1608339183487,🧡
1608339179873,🧡
1608339135773,🧡
1608338690436,🧡
1608338110556,🧡
1608337923476,🧡
1608337702568,🧡
1608337511522,🧡
1608324453320,🧡
1608324116600,🧡
1608322733713,🧡
1608320469011,👍
1608316254528,🧡
1608313629333,🧡
1608313377240,🧡
1608312854558,🧡
1608312817158,🧡
1608312766472,🧡
1608312727888,🧡
1608312704517,🧡
1608312693356,🧡
1608312667552,🧡
1608312386661,🧡
1608312201121,🧡
1608312193666,🧡
1608311941962,🧡
1608311914182,🧡
1608311742799,🧡
1608311590543,🧡
1608311480974,🧦
1608311435231,🧡
1608311402373,✋
1608310582056,🧡
1608308047750,🧡
1608308044734,🧡
1608308010548,🧡
1608307979825,🧡
1608307950469,🧡
1608307944042,🧡
1608307132722,🧡
1608307080688,🧡
1608307062324,🧡
1608306517423,🧡
1608305050299,🧡
1608305036710,🧡
1608305021293,🧡
1608304950789,🧡
1608304926398,🧡
1608304910666,🧡
1608304608214,🧡
1608300033234,🧡
1608300011686,🧡
1608299926858,🧡
1608299827626,🧡
1608299724082,🧡
1608299518747,🧡
1608299507595,🧡
1608299495378,🧡
1608299378335,🧡
1608299343178,🧡
1608298821174,🧡
1608298787841,🧡
1608298699245,🧡
1608298680750,🧡
1608298611380,🧡
1608295439485,🧡
1608290835781,🧡
1608290233386,🧡
1608290138647,🧡
1608290134371,🧡
1608289671983,🧡
1608289567085,🧡
1608289533300,🧡
1608289449662,🧡
1608289308058,🧡
1608289252492,🧡
1608289177600,🧡
1608288994038,😟
1608288952736,🧡
1608288898273,🧡
1608288790075,🧡
1608288640698,🧡
1608288475004,🧡
1608288467745,🧡
1608288439188,🧡
1608288350495,🧡
1608288340462,🧡
1608288226192,🧡
1608288189073,🧡
1608288174231,🧡
1608288116880,🧡
1608288039490,👍
1608287225237,🧡
1608287197895,🧡
1608287081626,🧡
1608286978495,🧡
1608286629218,🧡
1608286159340,🧡
1608285925231,🧡
1608285797012,🧡
1608285733964,😟
1608281357760,🧡
1608280271433,👩‍🌾
1608280138678,🧡
1608279704414,🧡
1608250816414,🧡
1608234330887,👍
1608223394555,🧡
1608223225774,🧡
1608222626142,🧡
1608222548578,🧡
1608222500504,🧡
1608220099352,🧡
1608220040609,🧡
1608217365299,🧡
1608216467216,🧡
1608216440121,🧡
1608216302141,🧡
1608216252373,🧡
1608215873634,🧡
1608214610747,🧡
1608214482047,😠
1608214239480,😆
1608212405872,😮
1608211462889,🧡
1608211418557,🧡
1608211415944,🧡
1608211374082,🧡
1608209690876,🧡
1608209670906,🧡
1608208876769,🧡
1608208853823,🧡
1608208499282,🧡
1608201732640,🧡
1608201271565,👍
1608201034300,🧡
1608200893966,🧡
